x,y,z
0.851074,0.237915,0.854248
0.851074,0.237915,0.854248
0.851074,0.237915,0.854248
0.851074,0.237915,0.854248
0.851074,0.237915,0.854248
0.832642,0.234863,0.839111
0.814209,0.231812,0.823853
0.795654,0.22876,0.808716
0.777222,0.225708,0.793579
0.76062,0.229248,0.771118
0.742798,0.230225,0.759766
0.724854,0.23114,0.748413
0.715088,0.23114,0.717529
0.689209,0.230835,0.715088
0.672119,0.227539,0.696533
0.654907,0.224243,0.678101
0.645264,0.221008,0.648682
0.633301,0.222961,0.625977
0.613037,0.216614,0.61377
0.592651,0.210266,0.601562
0.578857,0.214783,0.574585
0.558472,0.236633,0.563599
0.532227,0.224854,0.543457
0.55127,0.231873,0.446045
0.515991,0.235352,0.506348
0.496704,0.232788,0.491699
0.477417,0.230225,0.477051
0.458008,0.227661,0.462402
0.582031,0.223999,0.349243
0.706055,0.220337,0.236084
0.549805,0.224304,0.310425
0.393677,0.228333,0.384766
0.389648,0.211853,0.359253
0.37793,0.230103,0.338013
0.345947,0.224609,0.328979
0.337036,0.22876,0.306641
0.328125,0.232971,0.284302
0.308228,0.231323,0.270874
0.288452,0.229675,0.257446
0.279175,0.224243,0.231201
0.266968,0.241028,0.209595
0.243408,0.229797,0.19812
0.248901,0.240906,0.17041
0.225586,0.232971,0.154907
0.192017,0.237183,0.145508
0.187744,0.245361,0.125488
0.183228,0.232666,0.098511
0.15918,0.231812,0.088745
0.151611,0.232727,0.070068
0.144043,0.233643,0.05127
0.126099,0.229553,0.023804
0.112671,0.229675,0.010864
0.099121,0.229858,-0.002075
0.085571,0.22998,-0.015137
0.061157,0.239075,-0.029541
0.060791,0.232849,-0.007812
0.053711,0.233582,0.02002
0.046631,0.234253,0.047974
0.07373,0.224792,0.055664
0.071167,0.208191,0.081177
0.089966,0.201233,0.096802
0.107422,0.21167,0.122803
0.113647,0.212585,0.148926
0.116699,0.196594,0.164673
0.128174,0.202637,0.193481
0.164429,0.214111,0.199097
0.151123,0.210693,0.234497
0.180786,0.206299,0.241577
0.178589,0.202515,0.27771
0.209839,0.210571,0.280396
0.213257,0.205627,0.311523
0.253784,0.194946,0.300903
0.242432,0.201843,0.344604
0.270264,0.211853,0.343628
0.284912,0.222778,0.369019
0.296387,0.20343,0.388184
0.322266,0.222595,0.403442
0.330688,0.205627,0.425537
0.351929,0.230957,0.43689
0.365234,0.220703,0.457031
0.37854,0.210449,0.477173
0.398071,0.229004,0.491455
0.421265,0.229492,0.507324
0.420166,0.224121,0.532959
0.431641,0.229248,0.551147
0.456421,0.21991,0.561035
0.478882,0.226929,0.578369
0.489868,0.223206,0.599854
0.491699,0.189514,0.607056
0.50647,0.200623,0.637085
0.535034,0.180359,0.629028
0.543701,0.195068,0.675537
0.56958,0.202576,0.677856
0.586548,0.184875,0.695068
0.589355,0.20874,0.722168
0.613037,0.195618,0.736084
0.613037,0.213257,0.760376
0.637817,0.219299,0.773315
0.671021,0.214966,0.777832
0.661987,0.199585,0.809814
0.68689,0.19812,0.834106
0.702759,0.215576,0.844604
0.727295,0.200745,0.85144
0.731567,0.208191,0.886597
0.752197,0.226196,0.885132
0.772827,0.227966,0.909668
0.789307,0.226379,0.925659
0.805786,0.224792,0.941528
0.819458,0.219727,0.956299
0.833252,0.214661,0.971069
0.850098,0.201965,0.978516
0.848511,0.197876,0.980103
0.846802,0.193787,0.981567
0.845215,0.189697,0.983154
0.843506,0.185608,0.984619
0.841919,0.181519,0.986206
0.84021,0.177429,0.987671
0.838623,0.17334,0.989258
0.836914,0.16925,0.990723
0.835327,0.165161,0.99231
0.833618,0.161072,0.993774
0.832031,0.156982,0.995361
0.830322,0.152893,0.996826
0.828735,0.148804,0.998413
0.827026,0.144714,1.0
0.825806,0.169861,0.984497
0.798218,0.160583,0.962769
0.783936,0.17981,0.95813
0.770142,0.189819,0.94458
0.754883,0.186646,0.930054
0.739502,0.183472,0.915405
0.737305,0.186035,0.878296
0.709106,0.173584,0.871826
0.709717,0.186157,0.838013
0.681763,0.176697,0.838257
0.680298,0.175537,0.798462
0.652832,0.165894,0.795776
0.6427,0.167175,0.775146
0.626709,0.180725,0.754761
0.604492,0.163452,0.753418
0.590454,0.168274,0.719849
0.567993,0.15448,0.72168
0.562988,0.147705,0.691772
0.537964,0.161499,0.686523
0.517456,0.14386,0.674194
0.513794,0.157715,0.644043
0.480713,0.149414,0.649902
0.466675,0.140686,0.618896
0.448486,0.150269,0.607422
0.436157,0.150452,0.575439
0.420898,0.143677,0.561523
0.403442,0.146545,0.533936
0.381226,0.164001,0.533813
0.375854,0.147095,0.504395
0.340088,0.15509,0.500488
0.328003,0.155884,0.478516
0.315796,0.156677,0.456543
0.332031,0.147095,0.427734
0.2771,0.161804,0.423218
0.28125,0.177551,0.393799
0.276001,0.15448,0.375366
0.257568,0.180786,0.359497
0.245728,0.178894,0.328003
0.21582,0.17572,0.333496
0.198608,0.170898,0.314697
0.181396,0.166077,0.295898
0.184692,0.160339,0.266479
0.160034,0.15332,0.257935
0.150635,0.160645,0.22522
0.13916,0.134888,0.215942
0.128296,0.154175,0.196289
0.121826,0.142151,0.166748
0.095703,0.138123,0.151978
0.080566,0.161865,0.140869
0.070312,0.169861,0.119995
0.059937,0.177856,0.098999
0.05249,0.173706,0.092651
0.045166,0.169617,0.086426
0.037842,0.165466,0.080078
0.030518,0.161316,0.073853
0.020874,0.151917,0.086792
0.011353,0.142517,0.099854
0.020996,0.128052,0.105713
0.030762,0.113647,0.111572
0.045654,0.116211,0.135498
0.034912,0.102783,0.165771
0.051025,0.093384,0.183716
0.051514,0.095398,0.214844
0.064697,0.093933,0.237183
0.078003,0.092407,0.259399
0.088257,0.092896,0.28125
0.098511,0.093323,0.302979
0.108765,0.09375,0.324707
0.115112,0.096802,0.345215
0.12146,0.099915,0.365845
0.12793,0.102966,0.386353
0.134277,0.106018,0.40686
0.140747,0.10907,0.42749
0.147095,0.112122,0.447998
0.153564,0.115173,0.468506
0.123901,0.121155,0.456909
0.099609,0.109314,0.480713
0.082764,0.117737,0.457275
0.052368,0.108459,0.459961
0.054565,0.115906,0.439819
0.048584,0.114929,0.408569
0.078735,0.128906,0.408081
0.091553,0.137573,0.386353
0.115479,0.135864,0.381348
0.139526,0.134155,0.376221
0.136108,0.134399,0.397217
0.132812,0.134705,0.418213
0.129517,0.134949,0.439209
0.141968,0.130676,0.46582
0.13916,0.116394,0.485474
0.17334,0.130981,0.483643
0.177734,0.122925,0.526001
0.192993,0.125732,0.537598
0.208252,0.128479,0.549072
0.223633,0.131287,0.560669
0.238892,0.134094,0.572266
